sd_w_in ; sd_w_ex ; N 1 ; N 2 ; time1 ; time2 ;
0.01;0.01;19661.5;9829.5;2e+08;2e+08
0.01;0.03;1788;22758.5;50350000;2e+08
0.01;0.05;0;21838;320000;2e+08
0.01;0.07;0;16714;140000;2e+08
0.01;0.09;0;9542;60000;2e+08
0.01;0.11;0;7500.25;40000;2e+08
0.01;0.13;0;3933.5;20000;2e+08
0.01;0.15;0;4045;20000;2e+08
0.01;0.17;0;3813;20000;2e+08
0.01;0.19;0;4002;20000;2e+08
0.01;0.21;0;3853.25;20000;2e+08
0.03;0.01;3199.5;2792.5;2e+08;2e+08
0.03;0.03;3452;0;2e+08;1435000
0.03;0.05;0;3101.5;170000;2e+08
0.03;0.07;0;3062.25;95000;2e+08
0.03;0.09;0;2991.5;60000;2e+08
0.03;0.11;0;2343;30000;2e+08
0.03;0.13;0;2640.75;35000;2e+08
0.03;0.15;0;2214;25000;2e+08
0.03;0.17;0;2233.75;25000;2e+08
0.03;0.19;0;2207.75;20000;2e+08
0.03;0.21;0;2138.75;20000;2e+08
0.05;0.01;1361.75;1182.75;2e+08;2e+08
0.05;0.03;1084.5;797.5;2e+08;2e+08
0.05;0.05;1409.25;0;2e+08;555000
0.05;0.07;366.5;909;50070000;150030000
0.05;0.09;0;1233.25;65000;2e+08
0.05;0.11;0;1193;40000;2e+08
0.05;0.13;0;1089.5;30000;2e+08
0.05;0.15;0;1166;30000;2e+08
0.05;0.17;0;1100.5;20000;2e+08
0.05;0.19;0;1163.75;20000;2e+08
0.05;0.21;0;1161.25;20000;2e+08
0.07;0.01;776.25;682.75;2e+08;2e+08
0.07;0.03;669.75;584.25;2e+08;2e+08
0.07;0.05;568.5;397.25;2e+08;2e+08
0.07;0.07;770.75;0;2e+08;265000
0.07;0.09;214.5;549.5;50110000;150030000
0.07;0.11;0;734.5;60000;2e+08
0.07;0.13;0;675;40000;2e+08
0.07;0.15;210.5;515.75;50025000;150010000
0.07;0.17;197.75;495.25;50015000;150010000
0.07;0.19;0;639;20000;2e+08
0.07;0.21;0;653.75;20000;2e+08
0.09;0.01;563.75;457.75;2e+08;2e+08
0.09;0.03;496;388.25;2e+08;2e+08
