sd_m_2,d12,N 1,N 2,time1,time2
0.17,0.0015,1675.75,270.5,"2,00E+08",50715000
0.17,0.0017,1827.75,98.75,"2,00E+08",50595000
0.17,0.0019,1904,0,"2,00E+08",345000
0.17,0.0021,1923.75,0,"2,00E+08",320000
0.19,"1,00E-04",0,1963.5,260000,"2,00E+08"
0.19,"3,00E-04",0,1939.25,240000,"2,00E+08"
0.19,"5,00E-04",0,1946.5,"4,00E+05","2,00E+08"
0.19,"7,00E-04",0,1962.25,590000,"2,00E+08"
0.19,"9,00E-04",0,1977,710000,"2,00E+08"
0.19,0.0011,22,1948.5,50965000,"2,00E+08"
0.19,0.0013,207,1747.75,150410000,"2,00E+08"
0.19,0.0015,1409,537.75,"2,00E+08",150425000
0.19,0.0017,1958.75,0,"2,00E+08",995000
0.19,0.0019,1915,0,"2,00E+08","5,00E+05"
0.19,0.0021,1898.75,0,"2,00E+08",495000
0.21,"1,00E-04",0,1999.5,350000,"2,00E+08"
0.21,"3,00E-04",0,1919.75,330000,"2,00E+08"
0.21,"5,00E-04",0,1948.25,315000,"2,00E+08"
0.21,"7,00E-04",0,1996.75,565000,"2,00E+08"
0.21,"9,00E-04",0,1934.5,855000,"2,00E+08"
0.21,0.0011,44.25,1918,150125000,"2,00E+08"
0.21,0.0013,380.75,1508.25,"2,00E+08","2,00E+08"
0.21,0.0015,1608.5,360,"2,00E+08",51265000
0.21,0.0017,1894,0,"2,00E+08",685000
0.21,0.0019,1910,0,"2,00E+08",445000
0.21,0.0021,1898.75,0,"2,00E+08",530000
0.23,"1,00E-04",0,1957,230000,"2,00E+08"
0.23,"3,00E-04",0,1912.25,285000,"2,00E+08"
0.23,"5,00E-04",0,1969.5,360000,"2,00E+08"
0.23,"7,00E-04",0,1948.25,730000,"2,00E+08"
0.23,"9,00E-04",10,1984.5,50660000,"2,00E+08"
0.23,0.0011,10.75,1924.25,50765000,"2,00E+08"
0.23,0.0013,216.75,1715.25,"2,00E+08","2,00E+08"
0.23,0.0015,1376.5,547.5,"2,00E+08",150280000
0.23,0.0017,1770.25,176.5,"2,00E+08",50635000
0.23,0.0019,1944,0,"2,00E+08",730000
0.23,0.0021,1914.25,0,"2,00E+08",445000
