sd_m_2,d12,N 1,N 2
0.01,0.0001,26.273,1948.1399999999999
0.01,0.0003222222222222222,37.5154,1938.73
0.01,0.0005444444444444445,59.306,1918.6799999999998
0.01,0.0007666666666666668,119.628,1859.75
0.01,0.000988888888888889,1101.6200000000001,870.9000000000001
0.01,0.0012111111111111112,0,2162.0099999999998
0.01,0.0014333333333333336,0,2073.64
0.01,0.0016555555555555557,0,2048.2
0.01,0.001877777777777778,0,2036.8899999999999
0.01,0.0021,0,2031.0
0.03222222222222222,0.0001,14.6108,1959.8500000000001
0.03222222222222222,0.0003222222222222222,22.113,1954.22
0.03222222222222222,0.0005444444444444445,36.6527,1941.49
0.03222222222222222,0.0007666666666666668,76.902,1902.81
0.03222222222222222,0.000988888888888889,732.3090000000001,1243.46
0.03222222222222222,0.0012111111111111112,0,2105.7400000000002
0.03222222222222222,0.0014333333333333336,0,2047.4199999999998
0.03222222222222222,0.0016555555555555557,0,2031.08
0.03222222222222222,0.001877777777777778,0,2024.17
0.03222222222222222,0.0021,0,2020.87
0.05444444444444444,0.0001,4.30237,1970.2199999999998
0.05444444444444444,0.0003222222222222222,8.49166,1967.92
0.05444444444444444,0.0005444444444444445,16.6141,1961.6599999999999
0.05444444444444444,0.0007666666666666668,39.101,1940.9
0.05444444444444444,0.000988888888888889,405.37,1573.28
0.05444444444444444,0.0012111111111111112,0,2055.9700000000003
0.05444444444444444,0.0014333333333333336,0,2024.23
0.05444444444444444,0.0016555555555555557,0,2015.94
0.05444444444444444,0.001877777777777778,0,2012.92
0.05444444444444444,0.0021,0,2011.91
0.07666666666666665,0.0001,0.0122266,1976.91
0.07666666666666665,0.0003222222222222222,0.0540515,1976.8899999999999
0.07666666666666665,0.0005444444444444445,3.18541,1975.19
0.07666666666666665,0.0007666666666666668,13.751999999999999,1966.45
0.07666666666666665,0.000988888888888889,186.01600000000002,1794.57
0.07666666666666665,0.0012111111111111112,0,2022.59
0.07666666666666665,0.0014333333333333336,0,2008.6799999999998
0.07666666666666665,0.0016555555555555557,0,2005.79
0.07666666666666665,0.001877777777777778,0,2005.38
0.07666666666666665,0.0021,0,2005.91
0.09888888888888887,0.0001,6.551080000000001,1967.98
0.09888888888888887,0.0003222222222222222,11.4619,1964.96
0.09888888888888887,0.0005444444444444445,20.9952,1957.2800000000002
0.09888888888888887,0.0007666666666666668,47.380500000000005,1932.59
0.09888888888888887,0.000988888888888889,476.58799999999997,1501.4699999999998
0.09888888888888887,0.0012111111111111112,0,2066.98
0.09888888888888887,0.0014333333333333336,0,2029.3899999999999
0.09888888888888887,0.0016555555555555557,0,2019.34
0.09888888888888887,0.001877777777777778,0,2015.46
0.09888888888888887,0.0021,0,2013.95
0.1211111111111111,0.0001,206.82500000000002,1767.5
0.1211111111111111,0.0003222222222222222,276.019,1699.6799999999998
0.1211111111111111,0.0005444444444444445,409.996,1566.44
0.1211111111111111,0.0007666666666666668,779.835,1195.08
0.1211111111111111,0.000988888888888889,1964.91,0.0007893350000000001
0.1211111111111111,0.0012111111111111112,0,3045.4300000000003
0.1211111111111111,0.0014333333333333336,0,2484.79
0.1211111111111111,0.0016555555555555557,0,2317.06
0.1211111111111111,0.001877777777777778,0,2237.18
0.1211111111111111,0.0021,0,2190.96
0.1433333333333333,0.0001,nan,nan
0.1433333333333333,0.0003222222222222222,nan,nan
0.1433333333333333,0.0005444444444444445,nan,nan
0.1433333333333333,0.0007666666666666668,nan,nan
0.1433333333333333,0.000988888888888889,nan,nan
0.1433333333333333,0.0012111111111111112,nan,nan
0.1433333333333333,0.0014333333333333336,nan,nan
0.1433333333333333,0.0016555555555555557,nan,nan
0.1433333333333333,0.001877777777777778,nan,nan
0.1433333333333333,0.0021,nan,nan
0.16555555555555554,0.0001,nan,nan
0.16555555555555554,0.0003222222222222222,nan,nan
0.16555555555555554,0.0005444444444444445,nan,nan
0.16555555555555554,0.0007666666666666668,nan,nan
0.16555555555555554,0.000988888888888889,nan,nan
0.16555555555555554,0.0012111111111111112,nan,nan
0.16555555555555554,0.0014333333333333336,nan,nan
0.16555555555555554,0.0016555555555555557,nan,nan
0.16555555555555554,0.001877777777777778,nan,nan
0.16555555555555554,0.0021,nan,nan
0.18777777777777777,0.0001,nan,nan
0.18777777777777777,0.0003222222222222222,nan,nan
0.18777777777777777,0.0005444444444444445,nan,nan
0.18777777777777777,0.0007666666666666668,nan,nan
0.18777777777777777,0.000988888888888889,nan,nan
0.18777777777777777,0.0012111111111111112,nan,nan
0.18777777777777777,0.0014333333333333336,nan,nan
0.18777777777777777,0.0016555555555555557,nan,nan
0.18777777777777777,0.001877777777777778,nan,nan
0.18777777777777777,0.0021,nan,nan
0.21,0.0001,nan,nan
0.21,0.0003222222222222222,nan,nan
0.21,0.0005444444444444445,nan,nan
0.21,0.0007666666666666668,nan,nan
0.21,0.000988888888888889,nan,nan
0.21,0.0012111111111111112,nan,nan
0.21,0.0014333333333333336,nan,nan
0.21,0.0016555555555555557,nan,nan
0.21,0.001877777777777778,nan,nan
0.21,0.0021,nan,nan
