sd_in,sd_ex,N 1,N 2
0.01,0.01,777.513,1217.3999999999999
0.01,0.03333333333333333,264.97900000000004,1705.94
0.01,0.056666666666666664,0.0071176500000000005,1968.1299999999999
0.01,0.07999999999999999,0.00309862,1968.1299999999999
0.01,0.10333333333333332,0.00200538,1968.1299999999999
0.01,0.12666666666666665,0.00225969,1968.1299999999999
0.01,0.15,205.488,1755.2600000000002
0.01,0.17333333333333334,1713.7,147.27100000000002
0.01,0.19666666666666666,1936.42,5.83654
0.01,0.22,nan,nan
0.03333333333333333,0.01,866.892,1134.1200000000001
0.03333333333333333,0.03333333333333333,550.769,1426.19
0.03333333333333333,0.056666666666666664,244.61200000000002,1728.07
0.03333333333333333,0.07999999999999999,0.058723899999999996,1971.1000000000001
0.03333333333333333,0.10333333333333332,0.00753424,1971.15
0.03333333333333333,0.12666666666666665,0.0121983,1971.15
0.03333333333333333,0.15,660.835,1297.94
0.03333333333333333,0.17333333333333334,1799.4,118.696
0.03333333333333333,0.19666666666666666,nan,nan
0.03333333333333333,0.22,nan,nan
0.056666666666666664,0.01,937.084,1071.08
0.056666666666666664,0.03333333333333333,772.532,1211.51
0.056666666666666664,0.056666666666666664,617.933,1361.82
0.056666666666666664,0.07999999999999999,464.83,1513.1299999999999
0.056666666666666664,0.10333333333333332,328.766,1648.0600000000002
0.056666666666666664,0.12666666666666665,414.951,1560.5
0.056666666666666664,0.15,858.609,1109.54
0.056666666666666664,0.17333333333333334,1692.63,240.758
0.056666666666666664,0.19666666666666666,nan,nan
0.056666666666666664,0.22,nan,nan
0.07999999999999999,0.01,971.9240000000001,1041.5900000000001
0.07999999999999999,0.03333333333333333,880.541,1108.8
0.07999999999999999,0.056666666666666664,799.0989999999999,1185.94
0.07999999999999999,0.07999999999999999,718.69,1264.55
0.07999999999999999,0.10333333333333332,643.262,1338.75
0.07999999999999999,0.12666666666666665,683.352,1297.03
0.07999999999999999,0.15,941.112,1035.26
0.07999999999999999,0.17333333333333334,1785.34,56.6198
0.07999999999999999,0.19666666666666666,nan,nan
0.07999999999999999,0.22,nan,nan
0.10333333333333332,0.01,988.373,1028.98
0.10333333333333332,0.03333333333333333,929.902,1063.24
0.10333333333333332,0.056666666666666664,880.9269999999999,1107.9
0.10333333333333332,0.07999999999999999,830.885,1156.08
0.10333333333333332,0.10333333333333332,774.595,1211.03
0.10333333333333332,0.12666666666666665,785.654,1198.3899999999999
0.10333333333333332,0.15,974.276,1008.17
0.10333333333333332,0.17333333333333334,1598.7799999999997,98.4333
0.10333333333333332,0.19666666666666666,nan,nan
0.10333333333333332,0.22,nan,nan
0.12666666666666665,0.01,993.6239999999999,1026.76
0.12666666666666665,0.03333333333333333,942.0659999999999,1054.04
0.12666666666666665,0.056666666666666664,896.113,1095.6
0.12666666666666665,0.07999999999999999,838.995,1150.6999999999998
0.12666666666666665,0.10333333333333332,743.609,1244.55
0.12666666666666665,0.12666666666666665,710.934,1275.85
0.12666666666666665,0.15,964.704,1022.3900000000001
0.12666666666666665,0.17333333333333334,1286.26,505.21799999999996
0.12666666666666665,0.19666666666666666,nan,nan
0.12666666666666665,0.22,nan,nan
0.15,0.01,991.698,1031.46
0.15,0.03333333333333333,924.1769999999999,1074.6
0.15,0.056666666666666664,838.121,1156.14
0.15,0.07999999999999999,652.517,1339.6000000000001
0.15,0.10333333333333332,0.012159,1990.9
0.15,0.12666666666666665,0.00413507,1990.91
0.15,0.15,783.1650000000001,1207.69
0.15,0.17333333333333334,1407.8200000000002,533.338
0.15,0.19666666666666666,nan,nan
0.15,0.22,nan,nan
0.17333333333333334,0.01,2.5183999999999998e-05,0.00023262199999999998
0.17333333333333334,0.03333333333333333,2.16845e-05,0
0.17333333333333334,0.056666666666666664,9.59919e-05,0.00015198999999999999
0.17333333333333334,0.07999999999999999,0,0
0.17333333333333334,0.10333333333333332,0,0
0.17333333333333334,0.12666666666666665,6.160250000000001e-96,4.7328199999999996e-96
0.17333333333333334,0.15,1.91173e-89,1.91077e-89
0.17333333333333334,0.17333333333333334,0,0
0.17333333333333334,0.19666666666666666,nan,nan
0.17333333333333334,0.22,nan,nan
0.19666666666666666,0.01,0,1.90527e-05
0.19666666666666666,0.03333333333333333,0,0
0.19666666666666666,0.056666666666666664,0,0
0.19666666666666666,0.07999999999999999,3.06825e-13,1.48863e-13
0.19666666666666666,0.10333333333333332,nan,nan
0.19666666666666666,0.12666666666666665,nan,nan
0.19666666666666666,0.15,nan,nan
0.19666666666666666,0.17333333333333334,nan,nan
0.19666666666666666,0.19666666666666666,nan,nan
0.19666666666666666,0.22,nan,nan
0.22,0.01,6.27113e-08,1.69097e-08
0.22,0.03333333333333333,0,0
0.22,0.056666666666666664,0,0
0.22,0.07999999999999999,nan,nan
0.22,0.10333333333333332,nan,nan
0.22,0.12666666666666665,nan,nan
0.22,0.15,nan,nan
0.22,0.17333333333333334,nan,nan
0.22,0.19666666666666666,nan,nan
0.22,0.22,nan,nan
