sd_in,sd_ex,N 1,N 2
0.01,0.01,607.833,1392.1399999999999
0.01,0.03333333333333333,886.554,1113.47
0.01,0.056666666666666664,933.737,1066.34
0.01,0.07999999999999999,953.2420000000001,1046.8899999999999
0.01,0.10333333333333332,964.475,1035.71
0.01,0.12666666666666665,984.429,1016.0
0.01,0.15,nan,nan
0.01,0.17333333333333334,nan,nan
0.01,0.19666666666666666,nan,nan
0.01,0.22,nan,nan
0.03333333333333333,0.01,884.0219999999999,1115.69
0.03333333333333333,0.03333333333333333,966.3689999999999,1033.4
0.03333333333333333,0.056666666666666664,980.324,1019.49
0.03333333333333333,0.07999999999999999,986.1,1013.77
0.03333333333333333,0.10333333333333332,989.365,1010.54
0.03333333333333333,0.12666666666666665,1000.1,999.928
0.03333333333333333,0.15,nan,nan
0.03333333333333333,0.17333333333333334,nan,nan
0.03333333333333333,0.19666666666666666,nan,nan
0.03333333333333333,0.22,nan,nan
0.056666666666666664,0.01,1999.62,0.0023116
0.056666666666666664,0.03333333333333333,1888.62,111.007
0.056666666666666664,0.056666666666666664,1519.24,480.438
0.056666666666666664,0.07999999999999999,1366.6599999999999,633.065
0.056666666666666664,0.10333333333333332,1279.1,720.6610000000001
0.056666666666666664,0.12666666666666665,1141.21,858.56
0.056666666666666664,0.15,nan,nan
0.056666666666666664,0.17333333333333334,nan,nan
0.056666666666666664,0.19666666666666666,nan,nan
0.056666666666666664,0.22,nan,nan
0.07999999999999999,0.01,1999.6399999999999,0.000896916
0.07999999999999999,0.03333333333333333,1999.6399999999999,0.00302842
0.07999999999999999,0.056666666666666664,1875.05,124.60900000000001
0.07999999999999999,0.07999999999999999,1618.5900000000001,381.125
0.07999999999999999,0.10333333333333332,1475.57,524.173
0.07999999999999999,0.12666666666666665,1246.4,753.289
0.07999999999999999,0.15,nan,nan
0.07999999999999999,0.17333333333333334,nan,nan
0.07999999999999999,0.19666666666666666,nan,nan
0.07999999999999999,0.22,nan,nan
0.10333333333333332,0.01,1999.69,0.000536626
0.10333333333333332,0.03333333333333333,1999.69,0.00186023
0.10333333333333332,0.056666666666666664,1998.8,0.8851370000000001
0.10333333333333332,0.07999999999999999,1726.5,273.236
0.10333333333333332,0.10333333333333332,1595.73,404.029
0.10333333333333332,0.12666666666666665,1358.26,641.42
0.10333333333333332,0.15,nan,nan
0.10333333333333332,0.17333333333333334,nan,nan
0.10333333333333332,0.19666666666666666,nan,nan
0.10333333333333332,0.22,nan,nan
0.12666666666666665,0.01,1999.77,0.000420981
0.12666666666666665,0.03333333333333333,1999.77,0.00104306
0.12666666666666665,0.056666666666666664,1999.77,0.00284226
0.12666666666666665,0.07999999999999999,1999.76,0.011420300000000001
0.12666666666666665,0.10333333333333332,1999.77,0.0073776
0.12666666666666665,0.12666666666666665,1999.77,0.00578556
0.12666666666666665,0.15,nan,nan
0.12666666666666665,0.17333333333333334,nan,nan
0.12666666666666665,0.19666666666666666,nan,nan
0.12666666666666665,0.22,nan,nan
0.15,0.01,0,0
0.15,0.03333333333333333,nan,nan
0.15,0.056666666666666664,nan,nan
0.15,0.07999999999999999,nan,nan
0.15,0.10333333333333332,nan,nan
0.15,0.12666666666666665,nan,nan
0.15,0.15,nan,nan
0.15,0.17333333333333334,nan,nan
0.15,0.19666666666666666,nan,nan
0.15,0.22,nan,nan
0.17333333333333334,0.01,3.80531e-29,7.36197e-34
0.17333333333333334,0.03333333333333333,1.36835e-53,0
0.17333333333333334,0.056666666666666664,nan,nan
0.17333333333333334,0.07999999999999999,nan,nan
0.17333333333333334,0.10333333333333332,nan,nan
0.17333333333333334,0.12666666666666665,nan,nan
0.17333333333333334,0.15,nan,nan
0.17333333333333334,0.17333333333333334,nan,nan
0.17333333333333334,0.19666666666666666,nan,nan
0.17333333333333334,0.22,nan,nan
0.19666666666666666,0.01,3.44576e-31,4.6374599999999995e-31
0.19666666666666666,0.03333333333333333,1.20993e-28,1.1147200000000001e-31
0.19666666666666666,0.056666666666666664,0,3.2294600000000003e-41
0.19666666666666666,0.07999999999999999,nan,nan
0.19666666666666666,0.10333333333333332,nan,nan
0.19666666666666666,0.12666666666666665,nan,nan
0.19666666666666666,0.15,nan,nan
0.19666666666666666,0.17333333333333334,nan,nan
0.19666666666666666,0.19666666666666666,nan,nan
0.19666666666666666,0.22,nan,nan
0.22,0.01,0,0
0.22,0.03333333333333333,nan,nan
0.22,0.056666666666666664,0,0
0.22,0.07999999999999999,nan,nan
0.22,0.10333333333333332,nan,nan
0.22,0.12666666666666665,nan,nan
0.22,0.15,nan,nan
0.22,0.17333333333333334,nan,nan
0.22,0.19666666666666666,nan,nan
0.22,0.22,nan,nan
